"","x"
"434",0.76
"435",0.74
"436",0.7
"437",0.7
"438",0.7
"439",0.7
"440",0.9
"441",0.95
"442",0.89
"443",0.72
"444",0.96
"445",1.02
"446",0.78
"447",0.61
"448",0.71
"449",0.78
"450",0.87
"451",0.83
"452",0.71
"453",0.71
"454",0.71
"455",0.71
"456",0.63
"457",0.71
"458",0.71
"459",0.71
"460",0.71
"461",0.9
"462",0.71
"463",0.7
"464",0.7
"465",0.7
"466",1
"467",0.86
"468",0.8
"469",0.7
"470",0.7
"471",0.7
"472",0.7
"473",1
"474",0.72
"475",0.72
"476",0.7
"477",0.86
"478",0.71
"479",0.75
"480",0.73
"481",0.53
"482",0.73
"483",0.73
"484",0.73
"485",0.73
"486",0.73
"487",0.73
"488",0.7
"489",0.72
"490",0.72
"491",0.72
"492",0.7
"493",0.6
"494",0.74
"495",0.73
"496",0.71
"497",0.71
"498",0.7
"499",0.7
"500",0.9
"501",0.71
"502",0.7
"503",0.7
"504",0.7
"505",0.7
"506",0.7
"507",0.7
"508",0.7
"509",0.7
"510",0.7
"511",0.79
"512",0.9
"513",0.71
"514",0.61
"515",0.9
"516",0.71
"517",0.71
"518",0.77
"519",0.74
"520",0.82
"521",0.82
"522",0.71
"523",0.83
"524",0.73
"525",0.83
"526",1.17
"527",0.91
"528",0.73
"529",0.7
"530",0.9
"531",0.7
"532",0.7
"533",0.7
"534",0.9
"535",0.78
"536",0.96
"537",0.7
"538",0.72
"539",0.79
"540",0.7
"541",0.7
"542",0.7
"543",1.01
"544",0.72
"545",0.8
"546",0.59
"547",0.72
"548",0.75
"549",0.8
"550",0.71
"551",0.77
"552",0.97
"553",0.53
"554",0.53
"555",0.8
"556",0.9
"557",0.76
"558",0.72
"559",0.75
"560",0.72
"561",0.79
"562",0.72
"563",0.91
"564",0.71
"565",0.81
"566",0.82
"567",0.71
"568",0.9
"569",0.8
"570",0.56
"571",0.7
"572",0.7
"573",0.61
"574",0.85
"575",0.7
"576",0.8
"577",0.8
"578",0.51
"579",0.53
"580",0.78
"581",0.9
"582",0.9
"583",0.77
"584",0.73
"585",0.63
"586",0.7
"587",0.72
"588",0.72
"589",0.75
"590",0.82
"591",0.71
"592",0.7
"593",0.7
"594",0.71
"595",0.76
"596",0.82
"597",0.72
"598",0.7
"599",0.7
"600",0.7
"601",0.7
"602",0.7
"603",0.7
"604",0.7
"605",0.7
"606",0.74
"607",0.71
"608",0.7
"609",0.71
"610",0.71
"611",0.71
"612",0.71
"613",0.7
"614",0.73
"615",0.7
"616",0.7
"617",0.71
"618",0.71
"619",0.79
"620",0.71
"621",0.77
"622",0.75
"623",0.7
"624",0.71
"625",0.92
"626",0.83
"627",0.7
"628",0.73
"629",0.71
"630",0.73
"631",0.82
"632",0.82
"633",0.82
"634",0.52
"635",1
"636",0.95
"637",0.73
"638",0.73
"639",0.73
"640",0.8
"641",0.7
"642",0.7
"643",0.7
"644",0.71
"645",0.81
"646",0.71
"647",0.73
"648",0.73
"649",0.72
"650",0.81
"651",0.71
"652",0.73
"653",0.7
"654",1.01
"655",1.01
"656",0.79
"657",0.7
"658",0.7
"659",0.8
"660",1.27
"661",0.79
"662",0.72
"663",0.73
"664",1.01
"665",1.01
"666",0.73
"667",0.7
"668",0.7
"669",0.77
"670",0.77
"671",0.77
"672",0.84
"673",0.72
"674",0.76
"675",0.7
"676",0.54
"677",0.75
"678",0.79
"679",0.74
"680",0.7
"681",0.7
"682",0.75
"683",1.2
"684",0.8
"685",0.66
"686",0.87
"687",0.86
"688",0.74
"689",0.58
"690",0.78
"691",0.74
"692",0.73
"693",0.91
"694",0.71
"695",0.71
"696",0.79
"697",0.79
"698",0.71
"699",0.82
"700",0.78
"701",0.7
"702",1.12
"703",0.73
"704",0.91
"705",0.91
"706",0.91
"707",0.91
"708",0.7
"709",0.68
"710",0.73
"711",1.03
"712",0.74
"713",0.98
"714",1.02
"715",1
"716",1.02
"717",0.6
"718",0.8
"719",0.97
"720",1
"721",0.26
"722",0.26
"723",0.36
"724",0.34
"725",0.34
"726",0.34
"727",0.34
"728",0.34
"729",0.34
"730",0.32
"731",0.31
"732",0.31
"733",0.31
"734",0.31
"735",0.31
"736",0.31
"737",0.31
"738",0.31
"739",0.31
"740",0.33
"741",0.33
"742",0.33
"743",0.33
"744",0.33
"745",0.33
"746",0.33
"747",0.33
"748",0.33
"749",0.33
"750",0.33
"751",1
"752",0.77
"753",0.77
"754",0.7
"755",0.9
"756",0.72
"757",0.9
"758",0.72
"759",0.7
"760",0.81
"761",0.81
"762",0.71
"763",0.7
"764",0.71
"765",0.71
"766",0.92
"767",0.76
"768",0.73
"769",0.71
"770",0.7
"771",0.9
"772",0.71
"773",0.7
"774",0.7
"775",0.77
"776",0.71
"777",0.7
"778",0.75
"779",0.83
"780",0.71
"781",0.9
"782",0.6
"783",0.71
"784",0.53
"785",0.71
"786",0.62
"787",0.62
"788",0.9
"789",0.62
"790",0.82
"791",0.66
"792",0.7
"793",0.8
"794",0.8
"795",0.79
"796",0.71
"797",0.7
"798",0.7
"799",0.79
"800",0.7
"801",1.22
"802",1.01
"803",0.73
"804",0.91
"805",0.71
"806",0.83
"807",0.84
"808",0.71
"809",0.71
"810",0.71
"811",0.71
"812",0.71
"813",0.71
"814",0.91
"815",0.9
"816",0.71
"817",0.71
"818",0.72
"819",0.72
"820",0.71
"821",0.81
"822",0.83
"823",0.73
"824",0.56
"825",0.56
"826",0.71
"827",0.7
"828",0.96
"829",0.71
"830",0.7
"831",0.71
"832",0.8
"833",0.95
"834",0.82
"835",0.52
"836",0.82
"837",0.82
"838",0.82
"839",0.8
"840",0.96
"841",0.72
"842",0.62
"843",0.79
"844",0.75
"845",1.08
"846",0.72
"847",0.62
"848",0.73
"849",0.72
"850",0.52
"851",0.83
"852",0.64
"853",0.8
"854",0.74
"855",0.72
"856",0.82
"857",0.73
"858",1.04
"859",0.73
"860",0.73
"861",0.9
"862",0.75
"863",0.79
"864",0.7
"865",0.75
"866",1.02
"867",0.7
"868",0.7
"869",0.7
"870",0.7
"871",0.7
"872",0.7
"873",0.72
"874",0.74
"875",0.84
"876",0.76
"877",0.77
"878",0.76
"879",1
"880",1
"881",0.9
"882",0.9
"883",0.9
"884",0.9
"885",0.9
"886",0.9
"887",0.78
"888",0.71
"889",0.7
"890",0.7
"891",0.7
"892",0.7
"893",0.7
"894",0.7
"895",0.7
"896",1
"897",0.77
"898",1
"899",1
"900",1
"901",0.73
"902",0.79
"903",0.72
"904",0.71
"905",0.74
"906",0.7
"907",0.7
"908",0.79
"909",0.79
"910",0.79
"911",0.71
"912",0.79
"913",0.73
"914",0.63
"915",0.7
"916",0.71
"917",0.84
"918",0.84
"919",1.02
"920",0.72
"921",0.72
"922",0.92
"923",0.74
"924",0.7
"925",0.71
"926",1.05
"927",0.7
"928",0.54
"929",0.73
"930",0.88
"931",0.73
"932",0.72
"933",0.9
"934",0.9
"935",1.03
"936",0.84
"937",1.01
"938",0.77
"939",0.8
"940",0.9
"941",0.73
"942",0.72
"943",0.71
"944",0.7
"945",0.79
"946",0.72
"947",0.7
"948",0.7
"949",0.9
"950",0.71
"951",0.5
"952",0.5
"953",0.74
"954",0.77
"955",0.77
"956",0.8
"957",0.8
"958",0.8
"959",0.8
"960",0.66
"961",0.71
"962",0.71
"963",0.71
"964",0.71
"965",0.72
"966",0.71
"967",0.86
"968",1.19
"969",0.71
"970",0.82
"971",0.71
"972",0.75
"973",0.7
"974",0.8
"975",0.82
"976",0.82
"977",0.82
"978",0.81
"979",0.81
"980",0.76
"981",0.71
"982",0.7
"983",0.7
"984",0.74
"985",0.77
"986",0.77
"987",0.53
"988",0.79
"989",0.73
"990",0.77
"991",0.77
"992",1.01
"993",1.01
"994",0.6
"995",0.76
"996",0.54
"997",0.72
"998",0.72
"999",0.74
"1000",1.12
"1001",0.75
"1002",0.77
"1003",0.98
"1004",0.79
"1005",0.79
"1006",0.79
"1007",0.79
"1008",0.79
"1009",0.79
"1010",0.7
"1011",0.7
"1012",0.72
"1013",0.8
"1014",0.81
"1015",0.81
"1016",0.74
"1017",0.73
"1018",0.73
"1019",0.75
"1020",0.71
"1021",0.71
"1022",0.75
"1023",0.75
"1024",0.72
"1025",0.72
"1026",0.72
"1027",0.79
"1028",0.79
"1029",0.7
"1030",0.62
"1031",0.7
"1032",0.7
"1033",0.7
"1034",0.71
"1035",0.86
"1036",0.53
"1037",0.91
"1038",0.95
"1039",0.91
"1040",0.74
"1041",0.8
"1042",0.74
"1043",0.61
"1044",0.61
"1045",0.61
"1046",0.72
"1047",0.7
"1048",0.71
"1049",0.79
"1050",0.72
"1051",0.33
"1052",0.39
"1053",0.32
"1054",0.25
"1055",0.25
"1056",0.25
"1057",0.25
"1058",0.31
"1059",0.31
"1060",0.31
"1061",0.31
"1062",0.31
"1063",0.31
"1064",0.31
"1065",0.31
"1066",0.31
"1067",0.31
"1068",0.31
"1069",0.31
"1070",0.31
"1071",0.31
"1072",0.31
"1073",0.31
"1074",0.31
"1075",0.31
"1076",0.31
"1077",0.31
"1078",0.31
"1079",0.31
"1080",0.31
"1081",0.82
"1082",0.73
"1083",0.7
"1084",0.7
"1085",0.71
"1086",0.71
"1087",0.9
"1088",0.71
"1089",1.05
"1090",0.59
"1091",0.71
"1092",0.77
"1093",0.73
"1094",0.7
"1095",0.73
"1096",0.8
"1097",1
"1098",1
"1099",1
"1100",0.7
"1101",0.71
"1102",0.71
"1103",0.71
"1104",0.71
"1105",0.71
"1106",0.71
"1107",0.91
"1108",0.83
"1109",0.85
"1110",0.8
"1111",0.73
"1112",0.83
"1113",0.77
"1114",0.8
"1115",0.71
"1116",0.73
"1117",0.93
"1118",0.74
"1119",0.7
"1120",0.71
"1121",0.71
"1122",0.8
"1123",0.71
"1124",0.72
"1125",0.83
"1126",0.72
"1127",0.8
"1128",0.73
"1129",0.7
"1130",0.73
"1131",0.73
"1132",0.71
"1133",0.72
"1134",0.71
"1135",0.71
"1136",0.74
"1137",0.71
"1138",0.71
"1139",0.71
"1140",0.65
"1141",0.9
"1142",0.71
"1143",0.71
"1144",0.68
"1145",0.53
"1146",0.77
"1147",0.72
"1148",0.72
"1149",0.7
"1150",0.75
"1151",0.75
"1152",0.87
"1153",0.71
"1154",0.77
"1155",0.78
"1156",0.75
"1157",0.9
"1158",0.7
"1159",0.8
"1160",0.7
"1161",0.51
"1162",0.71
"1163",1.02
"1164",1.2
"1165",0.81
"1166",0.81
"1167",0.81
"1168",0.77
"1169",0.8
"1170",0.9
"1171",0.7
"1172",0.7
"1173",0.74
"1174",0.8
"1175",0.7
"1176",0.7
"1177",0.71
"1178",0.7
"1179",0.7
"1180",0.71
"1181",0.71
"1182",0.71
"1183",0.9
"1184",0.9
"1185",0.71
"1186",0.7
"1187",0.72
"1188",0.72
"1189",0.7
"1190",0.7
"1191",0.7
"1192",0.72
"1193",0.59
"1194",0.73
"1195",0.75
"1196",0.75
"1197",0.9
"1198",0.71
"1199",0.91
"1200",1.17
"1201",0.8
"1202",0.7
"1203",0.81
"1204",0.74
"1205",0.7
"1206",0.82
"1207",0.76
"1208",0.76
"1209",0.95
"1210",0.71
"1211",0.71
"1212",0.81
"1213",0.73
"1214",0.73
"1215",0.83
"1216",0.77
"1217",0.8
"1218",0.73
"1219",0.72
"1220",0.75
"1221",0.8
"1222",0.81
"1223",0.82
"1224",0.7
"1225",1.24
"1226",0.7
"1227",0.7
"1228",0.75
"1229",1
"1230",0.75
"1231",0.7
"1232",0.79
"1233",0.8
"1234",0.81
"1235",0.71
"1236",1.03
"1237",0.7
"1238",0.76
"1239",1.01
"1240",0.73
"1241",0.72
"1242",0.74
"1243",0.79
"1244",0.57
"1245",0.79
"1246",0.78
"1247",0.85
"1248",0.71
"1249",0.71
"1250",0.72
"1251",0.72
"1252",0.77
"1253",0.79
"1254",0.78
"1255",0.76
"1256",0.92
"1257",0.73
"1258",0.7
"1259",0.7
"1260",0.74
"1261",0.74
"1262",0.73
"1263",0.82
"1264",0.9
"1265",0.73
"1266",0.7
"1267",0.9
"1268",0.9
"1269",0.9
"1270",0.9
"1271",1
"1272",0.72
"1273",0.76
"1274",0.77
"1275",0.72
"1276",0.99
"1277",0.81
"1278",0.71
"1279",0.71
"1280",0.54
"1281",0.72
"1282",0.81
"1283",0.73
"1284",0.72
"1285",0.7
"1286",0.7
"1287",0.7
"1288",0.7
"1289",0.72
"1290",0.72
"1291",0.7
"1292",0.7
"1293",0.7
"1294",0.74
"1295",0.7
"1296",0.8
"1297",0.79
"1298",0.75
"1299",0.71
"1300",0.72
"1301",0.72
"1302",0.72
"1303",0.75
"1304",0.82
"1305",0.76
"1306",0.89
"1307",0.7
"1308",0.74
"1309",0.74
"1310",0.95
"1311",0.91
"1312",0.7
"1313",0.71
"1314",0.7
"1315",0.72
"1316",0.72
"1317",0.72
"1318",0.79
"1319",0.72
"1320",0.98
"1321",0.56
"1322",0.7
"1323",0.79
"1324",0.82
"1325",0.74
"1326",0.71
"1327",0.7
"1328",0.7
"1329",0.7
"1330",0.76
"1331",0.72
"1332",0.64
"1333",0.71
"1334",0.74
"1335",0.77
"1336",0.74
"1337",0.72
"1338",0.73
"1339",0.73
"1340",0.63
"1341",0.72
"1342",0.76
"1343",0.71
"1344",0.75
"1345",0.96
"1346",0.63
"1347",0.72
"1348",0.71
"1349",0.82
"1350",0.71
"1351",0.91
"1352",0.71
"1353",0.71
"1354",0.71
"1355",0.7
"1356",0.7
"1357",0.75
"1358",0.9
"1359",0.9
"1360",0.9
"1361",0.9
"1362",1
"1363",1.5
"1364",1.05
"1365",0.9
"1366",0.71
"1367",0.71
"1368",0.71
"1369",0.71
"1370",0.7
"1371",0.7
"1372",0.73
"1373",0.85
"1374",0.7
"1375",0.75
"1376",0.82
"1377",0.7
"1378",0.7
"1379",0.86
"1380",0.79
"1381",0.31
"1382",0.31
"1383",0.31
"1384",0.3
"1385",0.31
"1386",0.31
"1387",0.31
"1388",0.24
"1389",0.24
"1390",0.24
"1391",0.24
"1392",0.24
"1393",0.32
"1394",0.32
"1395",0.24
"1396",0.24
"1397",0.24
"1398",0.24
"1399",0.24
"1400",0.32
"1401",0.32
"1402",0.25
"1403",0.25
"1404",0.25
"1405",0.27
"1406",0.32
"1407",0.36
"1408",0.41
"1409",0.32
"1410",0.32
"1411",0.75
"1412",0.92
"1413",1.13
"1414",0.71
"1415",1.06
"1416",0.9
"1417",0.8
"1418",0.52
"1419",0.72
"1420",0.7
"1421",0.78
"1422",0.78
"1423",1.04
"1424",0.91
"1425",0.81
"1426",0.76
"1427",0.7
"1428",0.9
"1429",0.81
"1430",0.9
"1431",0.75
"1432",0.77
"1433",0.7
"1434",0.81
"1435",0.7
"1436",0.82
"1437",0.57
"1438",0.9
"1439",1
"1440",0.71
"1441",0.7
"1442",0.7
"1443",0.82
"1444",0.8
"1445",0.83
"1446",0.83
"1447",0.77
"1448",0.79
"1449",0.72
"1450",0.91
"1451",0.71
"1452",0.81
"1453",0.76
"1454",0.54
"1455",0.71
"1456",0.7
"1457",0.8
"1458",0.76
"1459",0.72
"1460",0.7
"1461",0.86
"1462",0.7
"1463",0.7
"1464",0.64
"1465",0.7
"1466",0.91
"1467",0.91
"1468",0.9
"1469",0.71
"1470",0.9
"1471",0.71
"1472",0.71
"1473",0.71
"1474",0.74
"1475",0.9
"1476",1
"1477",0.7
"1478",0.75
"1479",0.82
"1480",0.77
"1481",0.8
"1482",0.82
"1483",0.84
"1484",0.7
"1485",0.74
"1486",0.77
"1487",0.6
"1488",1.03
"1489",0.76
"1490",0.72
"1491",0.83
"1492",0.76
"1493",0.72
"1494",0.57
"1495",0.75
"1496",0.7
"1497",0.7
"1498",0.75
"1499",1.06
"1500",0.69
"1501",0.87
"1502",0.75
"1503",0.7
"1504",0.7
"1505",0.75
"1506",0.72
"1507",1.01
"1508",0.71
"1509",0.71
"1510",0.81
"1511",1.24
"1512",0.81
"1513",0.81
"1514",0.73
"1515",0.7
"1516",0.91
"1517",0.88
"1518",0.77
"1519",0.74
"1520",0.72
"1521",0.7
"1522",0.72
"1523",0.7
"1524",1.01
"1525",0.85
"1526",0.7
"1527",0.73
"1528",1.02
"1529",0.87
"1530",0.71
"1531",0.7
"1532",0.74
"1533",0.74
"1534",0.7
"1535",0.77
"1536",0.93
"1537",0.9
"1538",0.9
"1539",0.9
"1540",0.72
"1541",0.7
"1542",0.7
"1543",0.7
"1544",0.6
"1545",0.75
"1546",0.83
"1547",0.77
"1548",0.71
"1549",0.89
"1550",0.72
"1551",0.72
"1552",0.8
"1553",0.73
"1554",0.76
"1555",1.01
"1556",0.65
"1557",0.81
"1558",0.81
"1559",0.7
"1560",0.61
"1561",0.78
"1562",0.72
"1563",0.92
"1564",0.75
"1565",0.55
"1566",0.8
"1567",0.72
"1568",0.73
"1569",0.91
"1570",0.91
"1571",0.71
"1572",0.71
"1573",0.55
"1574",0.71
"1575",0.71
"1576",0.7
"1577",0.71
"1578",0.71
"1579",0.71
"1580",0.71
"1581",0.71
"1582",0.76
"1583",0.91
"1584",0.7
"1585",0.61
"1586",0.7
"1587",0.82
"1588",0.71
"1589",0.71
"1590",0.71
"1591",0.74
"1592",0.83
"1593",0.83
"1594",0.8
"1595",0.8
"1596",0.73
"1597",1
"1598",1.2
"1599",1.2
"1600",1.2
"1601",0.61
"1602",0.7
"1603",0.7
"1604",0.7
"1605",0.7
"1606",0.77
"1607",0.75
"1608",0.75
"1609",1
"1610",0.78
"1611",0.82
"1612",0.72
"1613",0.72
"1614",0.72
"1615",0.8
"1616",0.75
"1617",0.71
"1618",0.71
"1619",0.81
"1620",0.81
"1621",0.9
"1622",0.78
"1623",0.71
"1624",0.73
"1625",1.01
"1626",0.9
"1627",0.84
"1628",0.91
"1629",0.78
"1630",0.81
"1631",0.72
"1632",0.7
"1633",0.7
"1634",0.9
"1635",0.76
"1636",0.96
"1637",0.9
"1638",0.7
"1639",0.71
"1640",1.12
"1641",0.7
"1642",0.5
"1643",1.12
"1644",0.7
"1645",1.03
"1646",0.7
"1647",0.71
"1648",0.72
"1649",0.7
"1650",1.02
"1651",0.77
"1652",0.7
"1653",0.93
"1654",0.78
"1655",0.71
"1656",0.73
"1657",0.65
"1658",0.85
"1659",0.9
"1660",0.9
"1661",0.75
"1662",0.9
"1663",0.9
"1664",0.72
"1665",0.9
"1666",0.72
"1667",0.75
"1668",0.75
"1669",0.72
"1670",0.75
"1671",0.65
"1672",0.7
"1673",0.59
"1674",0.71
"1675",0.83
"1676",1.02
"1677",1
"1678",1.02
"1679",0.77
"1680",0.7
"1681",0.8
"1682",0.74
"1683",0.77
"1684",0.72
"1685",1.01
"1686",1.01
"1687",0.55
"1688",0.71
"1689",0.73
"1690",0.76
"1691",0.52
"1692",0.7
"1693",0.7
"1694",0.7
"1695",0.92
"1696",0.91
"1697",0.91
"1698",0.91
"1699",0.7
"1700",0.72
"1701",0.71
"1702",0.72
"1703",0.78
"1704",0.71
"1705",0.8
"1706",0.74
"1707",0.74
"1708",0.61
"1709",0.78
"1710",0.7
"1711",0.32
"1712",0.32
"1713",0.4
"1714",0.32
"1715",0.32
"1716",0.32
"1717",0.32
"1718",0.32
"1719",0.32
"1720",0.32
"1721",0.32
"1722",0.32
"1723",0.32
"1724",0.32
"1725",0.32
"1726",0.32
"1727",0.32
"1728",0.32
"1729",0.32
"1730",0.32
"1731",0.32
"1732",0.32
"1733",0.32
"1734",0.32
"1735",0.32
"1736",0.32
"1737",0.32
"1738",0.32
"1739",0.32
"1740",0.32
"1741",0.72
"1742",0.76
"1743",0.7
"1744",0.73
"1745",0.7
"1746",0.7
"1747",0.77
"1748",0.92
"1749",0.73
"1750",0.71
"1751",0.71
"1752",0.81
"1753",0.71
"1754",0.72
"1755",0.81
"1756",0.81
"1757",0.77
"1758",0.83
"1759",0.71
"1760",0.71
"1761",0.78
"1762",0.71
"1763",0.72
"1764",1.14
"1765",0.75
"1766",0.75
"1767",0.7
"1768",0.79
"1769",0.73
"1770",0.91
"1771",0.91
"1772",0.93
"1773",0.82
"1774",0.75
"1775",0.72
"1776",0.72
"1777",0.72
"1778",0.72
"1779",0.9
"1780",0.72
"1781",0.72
"1782",0.75
"1783",0.66
"1784",0.83
"1785",0.62
"1786",0.8
"1787",0.76
"1788",0.76
"1789",0.82
"1790",0.81
"1791",1.02
"1792",0.66
"1793",0.7
"1794",0.77
"1795",0.7
"1796",1.03
"1797",0.7
"1798",0.71
"1799",0.7
"1800",0.71
"1801",0.81
"1802",0.78
"1803",0.75
"1804",0.79
"1805",0.79
"1806",0.79
"1807",0.79
"1808",0.7
"1809",1.01
"1810",1.01
"1811",1.01
"1812",1.01
"1813",0.78
"1814",0.65
"1815",0.61
"1816",0.78
"1817",0.76
"1818",0.9
"1819",0.92
"1820",0.57
"1821",0.76
"1822",0.9
"1823",0.82
"1824",0.91
"1825",0.79
"1826",0.91
"1827",0.72
"1828",0.81
"1829",0.71
"1830",1.03
"1831",0.9
"1832",0.74
"1833",0.7
"1834",0.71
"1835",0.9
"1836",0.71
"1837",0.91
"1838",0.71
"1839",0.7
"1840",0.72
"1841",0.9
"1842",0.71
"1843",0.71
"1844",0.93
"1845",0.7
"1846",0.7
"1847",0.7
"1848",0.71
"1849",0.76
"1850",0.7
"1851",0.7
"1852",0.8
"1853",0.72
"1854",0.7
"1855",0.65
"1856",0.85
"1857",0.77
"1858",0.71
"1859",0.71
"1860",0.8
"1861",0.8
"1862",0.73
"1863",0.9
"1864",0.78
"1865",0.7
"1866",0.7
"1867",0.85
"1868",0.8
"1869",0.8
"1870",0.92
"1871",0.8
"1872",0.82
"1873",0.71
"1874",0.7
"1875",0.79
"1876",0.7
"1877",0.75
"1878",0.71
"1879",0.62
"1880",1.03
